symbol,expectedPrice,quantity,bought,intrinsicValue
CHAMBLFERT.NS,430.00,1,true,588.00
CHAMBLFERT.NS,410.00,1,true,588.00
CHAMBLFERT.NS,400.00,2,false,588.00
CHAMBLFERT.NS,420.00,2,true,588.00
CROMPTON.NS,230.00,4,true,397.00
CROMPTON.NS,220.00,4,false,397.00
CROMPTON.NS,210.00,4,false,397.00
CROMPTON.NS,235.00,1,true,397.00
TATASTEEL.NS,140.00,5,false,179.00
TATASTEEL.NS,135.00,3,false,179.00
PETRONET.NS,200.00,10,false,218.82
LT.NS,3600.00,1,true,3760.00
LT.NS,3500.00,1,true,3760.00
LT.NS,3300.00,1,false,3760.00
LT.NS,3200.00,1,false,3760.00
GAIL.NS,150.00,5,true,226.00
GAIL.NS,145.00,5,true,226.00
GAIL.NS,140.00,5,true,226.00
GAIL.NS,135.00,5,false,226.00
GAIL.NS,130.00,10,false,226.00
COROMANDEL.NS,2050.00,1,true,1768.00
COROMANDEL.NS,1750.00,1,false,1768.00
COROMANDEL.NS,1600.00,1,false,1768.00
COROMANDEL.NS,1500.00,1,false,1768.00
COROMANDEL.NS,1820.00,1,true,1768.00
COROMANDEL.NS,1700.00,1,false,1768.00
COROMANDEL.NS,1620.00,3,false,1768.00
COROMANDEL.NS,1550.00,3,false,1768.00
CIPLA.NS,1300.00,2,true,1355.00
CIPLA.NS,1150.00,2,false,1355.00
CIPLA.NS,1130.00,2,false,1355.00
GUJGASLTD.NS,375.00,4,true,328.38
GUJGASLTD.NS,350.00,5,true,328.38
GUJGASLTD.NS,320.00,5,false,328.38
GUJGASLTD.NS,310.00,5,false,328.38
ASIANPAINT.NS,2000.00,2,false,1795.00
ASIANPAINT.NS,2150.00,1,true,1795.00
ASIANPAINT.NS,2200.00,1,true,1795.00
ASIANPAINT.NS,2100.00,1,false,1795.00
TCS.NS,2450.00,1,true,3200.00
TCS.NS,2500.00,1,true,3200.00
TCS.NS,2350.00,1,true,3200.00
TCS.NS,2250.00,1,true,3200.00
TCS.NS,2170.00,1,true,3200.00
TCS.NS,2100.00,1,true,3200.00
TCS.NS,2010.00,1,true,3200.00
INFY.NS,1250.00,1,true,1416.00
INFY.NS,1270.00,1,true,1416.00
INFY.NS,1220.00,1,true,1416.00
INFY.NS,1100.00,2,true,1416.00
INFY.NS,1060.00,2,true,1416.00
INFY.NS,1010.00,3,true,1416.00
HDFCBANK.NS,820.00,2,true,1872.00
HDFCBANK.NS,850.00,2,true,1872.00
HDFCBANK.NS,800.00,2,true,1872.00
HDFCBANK.NS,780.00,3,true,1872.00
HDFCBANK.NS,750.00,2,true,1872.00
HDFCBANK.NS,740.00,2,true,1872.00
HDFCBANK.NS,720.00,2,true,1872.00
HDFCBANK.NS,700.00,2,true,1872.00
HDFCBANK.NS,680.00,2,false,1872.00
HDFCBANK.NS,660.00,2,false,1872.00
HDFCBANK.NS,630.00,2,false,1872.00
SBICARD.NS,700.00,2,true,700.00
SBICARD.NS,710.00,1,true,700.00
SBICARD.NS,690.00,1,true,700.00
SBICARD.NS,680.00,1,true,700.00
SBICARD.NS,560.00,3,false,700.00
HINDUNILVR.NS,1806.00,1,false,1806.00
COLPAL.NS,2075.00,1,true,1791.00
COLPAL.NS,2040.00,1,true,1791.00
COLPAL.NS,2000.00,1,true,1791.00
COLPAL.NS,1950.00,1,true,1791.00
COLPAL.NS,1850.00,1,true,1791.00
COLPAL.NS,1750.00,2,false,1791.00
INDIGO.NS,3300.00,1,false,4720.00
INDIGO.NS,3450.00,1,false,4720.00
INDIGO.NS,3550.00,2,false,4720.00
INDIGO.NS,3776.00,1,false,4720.00
KOTAKBANK.NS,374.00,3,true,576.06
KOTAKBANK.NS,360.00,3,true,576.06
KOTAKBANK.NS,350.00,5,false,576.06
KOTAKBANK.NS,340.00,5,false,576.06
ITC.NS,300.00,3,true,382.00
ITC.NS,275.00,3,true,382.00
ITC.NS,270.00,3,true,382.00
ITC.NS,295.00,3,true,382.00
ITC.NS,250.00,5,false,382.00
ITC.NS,235.00,10,false,382.00
ITC.NS,265.00,3,true,382.00
M&M.NS,2700.00,1,false,
M&M.NS,2600.00,1,false,
M&M.NS,2500.00,1,false,
M&M.NS,2450.00,1,false,
M&M.NS,2990.00,2,false,
ITBEES.NS,32.00,30,true,
ITBEES.NS,31.00,30,true,
ITBEES.NS,29.00,50,true,
ITBEES.NS,30.00,50,true,
PIDILITIND.NS,1200.00,2,false,1016.00
PIDILITIND.NS,1270.00,2,false,1016.00
PIDILITIND.NS,1230.00,3,false,1016.00
NESTLEIND.NS,1100.00,3,false,957.00
NESTLEIND.NS,1070.00,1,false,957.00
NESTLEIND.NS,1050.00,3,false,957.00
BPCL.NS,270.00,5,false,480.13
BPCL.NS,265.00,5,false,480.13
BPCL.NS,260.00,5,false,480.13
BPCL.NS,255.00,5,false,480.13
AMBUJACEM.NS,435.00,5,true,510.00
AMBUJACEM.NS,425.00,3,true,510.00
AMBUJACEM.NS,410.00,2,true,510.00
AMBUJACEM.NS,400.00,3,true,510.00
RELIANCE.NS,1400.00,2,true,1453.00
RELIANCE.NS,1350.00,3,true,1453.00
RELIANCE.NS,1190.00,3,false,1453.00
JYOTHYLAB.NS,181.00,10,false,231.00
JYOTHYLAB.NS,202.00,10,true,231.00
JYOTHYLAB.NS,175.00,5,false,231.00
JYOTHYLAB.NS,190.00,30,false,231.00
DABUR.NS,390.00,5,true,479.91
DABUR.NS,399.00,5,true,479.91
DABUR.NS,380.00,5,true,479.91
DABUR.NS,375.00,5,true,479.91
DABUR.NS,365.00,3,false,479.91
SENCO.NS,300.00,30,false,512.00
SENCO.NS,310.00,10,false,512.00
WAAREEENER.NS,2599.00,2,true,4082.00
WAAREEENER.NS,2530.00,2,false,4082.00
WAAREEENER.NS,2500.00,5,false,4082.00
GUJENERGY.NS,260.00,10,false,333.00
MARUTI.NS,11600.00,2,false,14272.00
MARUTI.NS,11000.00,2,false,14272.00
HEROMOTOCO.NS,4300.00,1,false,5200.00
HEROMOTOCO.NS,4200.00,1,false,5200.00
ICICIGI.NS,1460.00,3,false,1832.24
ICICIGI.NS,1400.00,3,false,1832.24
PFC.NS,350.00,5,false,852.00
IEX.NS,100.00,10,false,100.00
FEDERALBNK.NS,245.00,10,false,302.00
NATCOPHARM.NS,600.00,5,false,748.55
