symbol,expectedPrice,quantity,bought,intrinsicValue
NKE,35.00,0.4,false,56.00
NKE,39.00,0.4,true,56.00
UBER,68.00,0.2,false,86.00
UBER,65.00,0.2,false,86.00
BIDU,75.00,1,false,148.19
BIDU,70.00,1,false,148.19
BIDU,92.00,0.1,true,148.19
BIDU,85.00,0.1,false,148.19
BIDU,90.00,0.1,true,148.19
INVZ,0.34,10,true,0.92
INVZ,0.31,50,false,0.92
MBLY,7.50,2.5,false,11.66
MBLY,7.50,2.5,false,11.66
XPEV,11.50,1,true,16.89
XPEV,11.00,1,true,16.89
XPEV,10.25,1,false,16.89
BABA,100.00,0.3,false,148.19
BABA,95.00,0.3,false,148.19
BABA,90.00,0.3,false,148.19
NFLX,70.00,0.5,false,86.00
NFLX,65.00,0.5,false,86.00
STLA,5.25,1,true,20.00
STLA,5.35,1,true,20.00
STLA,5.10,1,false,20.00
LULU,99.00,0.2,false,239.00
IBM,214.00,0.1,false,269.04
SAP,160.00,0.1,false,180.00
